"ID","grave_type","sex","Birth_year","Death_year","survival_time"
339,0,1,1937,1997,60
340,0,1,1930,1998,68
341,0,0,1928,2013,85
342,0,1,1929,2016,87
343,0,1,1904,1997,93
344,0,0,1937,1997,60
345,0,1,1936,2019,83
346,0,1,1925,2005,80
347,0,0,1925,2012,87
348,0,1,1928,2014,86
349,0,0,1925,1997,72
350,0,0,1913,1998,85
351,0,1,1920,2012,92
352,1,0,1908,1983,75
353,1,1,1919,2003,84
354,1,1,1914,2000,86
355,1,1,1902,1987,85
356,1,1,1929,2010,81
357,1,0,1912,1996,84
358,1,1,1947,2011,64
359,1,1,1938,2021,83
360,1,1,1919,1998,79
361,1,0,1934,2016,82
362,1,0,1906,1992,86
363,1,0,1920,2012,92
364,1,0,1934,2000,66
365,1,1,1912,1998,86
366,1,1,1905,1999,94
367,1,0,1944,2007,63
368,1,1,1936,2024,88
369,1,0,1933,2012,79
370,1,1,1920,1997,77
371,1,0,1914,2004,90
372,1,1,1959,2014,55
373,1,0,1932,2016,84
374,1,1,1937,2020,83
375,1,0,1922,2010,88
376,1,1,1929,2015,86
377,1,1,1934,2025,91
378,1,0,1952,2016,64
379,1,1,1947,2018,71
380,1,0,1912,2000,88
381,1,0,1935,2004,69
382,1,0,1929,2002,73
383,1,1,1947,2018,71
384,1,1,1949,2012,63
385,1,0,1949,2008,59
386,1,0,1944,2018,74
387,1,1,1937,2017,80
388,1,0,1934,2018,84
389,1,1,1915,2004,89
390,1,1,1917,2011,94
391,1,1,1930,1995,65
392,1,0,1936,2021,85
393,1,0,1909,2003,94
394,1,0,1948,2008,60
395,1,0,1922,2004,82
396,1,1,1922,2010,88
397,1,0,1927,2013,86
398,1,0,1937,2024,87
399,1,0,1950,2024,74
400,1,0,1945,2002,57
401,1,0,1933,2003,70
402,1,0,1933,2023,90
403,1,0,1926,2000,74
404,1,1,1932,2015,83
405,1,0,1943,2021,78
406,1,0,1950,2023,73
407,1,1,1935,2006,71
408,1,0,1927,2016,89
409,1,1,1931,2014,83
410,1,0,1954,2021,67
411,1,1,1913,2013,100
412,1,1,1926,2020,94
413,1,0,1929,2020,91
414,1,1,1963,2019,56
415,1,0,1930,2001,71
416,1,0,1936,2007,71
417,1,0,1931,2015,84
418,1,1,1932,2022,90
419,1,0,1929,2014,85
420,1,0,1934,2006,72
421,1,0,1939,2025,86
422,1,1,1917,2014,97
423,1,1,1940,2008,68
424,1,1,1940,2025,85
425,0,0,1948,2006,58
426,0,1,1950,2023,73
427,0,0,1933,2011,78
428,0,1,1931,2006,75
429,0,0,1939,2006,67
430,0,0,1933,2007,74
431,0,1,1934,2022,88
432,0,0,1924,2006,82
433,0,1,1935,2014,79
434,0,1,1919,2007,88
435,0,1,1929,2013,84
436,0,0,1928,2017,89
437,0,1,1922,2010,88
438,0,1,1944,2020,76
439,0,1,1947,2017,70
440,0,0,1924,2012,88
441,0,1,1927,2018,91
442,0,0,1924,2012,88
443,0,0,1931,2012,81
444,0,1,1932,2020,88
445,0,0,1940,2023,83
446,0,1,1937,2020,83
447,0,0,1917,2007,90
448,0,1,1922,2017,95
449,0,0,1930,2012,82
450,0,1,1930,2017,87
451,0,0,1912,1964,52
452,0,1,1949,2007,58
453,0,0,1935,2018,83
